SubfundName,SubfundType,Year
"A og V 
deild",Samtrygging,[2005]
A-deild,Samtrygging,"[2000, 2000, 2000, 2001, 2001, 2002, 2002, 2003, 2003, 2004, 2004, 2005, 2006, 2006, 2007, 2007, 2008, 2009, 2010, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]"
A-deild ,Samtrygging,[2008]
A-deild (Stigak.),Samtrygging,"[2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]"
Aldursdeild,Samtrygging,"[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]"
Aldursháð deild,Samtrygging,[2004]
Aldursháð-deild,Samtrygging,"[2002, 2005]"
Aldursháð-deild,X,[2001]
Aldursháðdeild,Samtrygging,[2003]
Aldursleið 1,Séreign,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016]"
Aldursleið 1,Sértrygging,[2015]
Aldursleið 2,Séreign,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016]"
Aldursleið 2,Sértrygging,[2015]
Aldursleið 3,Séreign,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016]"
Aldursleið 3,Sértrygging,[2015]
Aldursleið 4,Séreign,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016]"
Aldursleið 4,Sértrygging,[2015]
Aldursleið 5,Séreign,"[2005, 2006]"
Aldurstengd,Samtrygging,"[2006, 2007]"
Aldurstengd deild,Samtrygging,"[2004, 2005]"
Aldurstengddeild,Samtrygging,"[2000, 2002, 2003]"
Aldurstengddeild,X,[2001]
Alþingis-mannadeild,Samtrygging,"[2000, 2001, 2002]"
Alþingismannadeild ,Samtrygging,[2003]
B-deild,Samtrygging,"[2000, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2008, 2009, 2009, 2010, 2010, 2011, 2011, 2012, 2012, 2013, 2013, 2014, 2014, 2015, 2015, 2016, 2016, 2017, 2017, 2018, 2018]"
Blönduð leið,Séreign,"[2017, 2018]"
Deild 1,Séreign,"[2008, 2015]"
Deild I,Samtrygging,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012]"
Deild I,Séreign,"[2006, 2006, 2006, 2007, 2007, 2008, 2008, 2009, 2010, 2011, 2012, 2013, 2014]"
"Deild I
/Séreign",Séreign,[2005]
Deild I/Séreign,Séreign,"[2008, 2009, 2009, 2010, 2010, 2011, 2011, 2012, 2012, 2013, 2013, 2014, 2014, 2016, 2016, 2017, 2017, 2018, 2018]"
Deild I/Séreign,Sértrygging,"[2015, 2015]"
Deild II,Samtrygging,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2008, 2009]"
Deild II,Séreign,"[2006, 2007, 2008]"
Deild II/Séreign,Séreign,"[2009, 2009, 2010, 2010, 2011, 2011, 2012, 2012, 2013, 2013, 2014, 2014, 2016, 2016, 2017, 2017, 2018, 2018]"
Deild II/Séreign,Sértrygging,"[2015, 2015]"
Deild III/Séreign,Séreign,"[2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2018]"
Deild III/Séreign,Sértrygging,[2015]
Deild/leið I,Samtrygging,[2013]
Deild/leið I,Séreign,"[2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018]"
Deild/leið II,Samtrygging,[2013]
Deild/leið II,Séreign,"[2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018]"
Deild/leið III,Samtrygging,[2013]
Deild/leið III,Séreign,"[2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018]"
Eftirlaunad.,Samtrygging,"[2006, 2007]"
Erlend hlutabréf,Séreign,"[2016, 2017, 2018]"
Erlend verðbréf,Séreign,"[2016, 2017, 2018, 2018]"
Fjárvörslureikningur,Séreign,"[2016, 2017]"
Framsýn 1,Séreign,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
Framsýn 2,Séreign,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
Framsýn 3,Séreign,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
Framtíðarsýn 1,Séreign,"[2002, 2003, 2004, 2018]"
Framtíðarsýn 2,Séreign,"[2002, 2003, 2004, 2018]"
Framtíðarsýn 3,Séreign,[2018]
Frjálsi áhætta,Samtrygging,[2013]
Frjálsi áhætta,Séreign,"[2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018]"
Hlutfalls-deild,Samtrygging,"[2001, 2002, 2003, 2005]"
Hlutfallsd.,Samtrygging,"[2006, 2007]"
Hlutfallsdeild,Samtrygging,"[2000, 2004]"
Hluttfallsdeild,Samtrygging,"[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]"
Húsnæðisleið,Séreign,"[2017, 2018]"
Húsnæðissafn,Séreign,"[2017, 2018]"
Innlend skuldabréf,Séreign,"[2016, 2017, 2018]"
Innlánaleið,Séreign,"[2016, 2016, 2017, 2018]"
Innlánsleið,Séreign,"[2008, 2009, 2009, 2010, 2010, 2011, 2011, 2012, 2012, 2013, 2013, 2014, 2014, 2016, 2016, 2017, 2017, 2018, 2018]"
Innlánsleið,Sértrygging,"[2015, 2015]"
Innlánss.,Séreign,[2008]
Innlánssafn,Séreign,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]"
